Timestamp,Voltage1,Voltage2,Current,Capacity
45147134,7.64,7.69,8.52,106.81
45147672,7.64,7.69,8.52,106.81
45148216,7.62,7.69,8.52,106.82
45148755,7.64,7.69,8.52,106.82
45149293,7.64,7.69,8.52,106.82
45149831,7.62,7.69,8.52,106.82
45150368,7.64,7.69,8.49,106.47
45150906,7.64,7.69,8.52,106.82
45151443,7.64,7.67,8.52,106.82
45151981,7.62,7.69,8.52,106.82
45152519,7.64,7.67,8.52,106.83
45153059,7.64,7.69,8.52,106.83
45153596,7.64,7.67,8.52,106.83
45154134,7.64,7.67,8.52,106.83
45154670,7.64,7.67,8.52,106.83
45155208,7.64,7.69,8.52,106.83
45155745,7.64,7.69,8.52,106.83
45156283,7.62,7.69,8.52,106.83
45156824,7.64,7.67,8.52,106.84
45157361,7.64,7.67,8.52,106.84
45157899,7.62,7.69,8.52,106.84
45158439,7.62,7.67,8.52,106.84
45158976,7.64,7.69,8.52,106.84
45159514,7.64,7.69,8.52,106.84
45160051,7.64,7.67,8.52,106.84
45160588,7.62,7.67,8.52,106.84
45161125,7.64,7.69,8.52,106.85
45161663,7.64,7.67,8.52,106.85
45162201,7.64,7.67,8.52,106.85
45162738,7.62,7.67,8.52,106.85
45163277,7.64,7.67,8.52,106.85
45163816,7.62,7.69,8.52,106.85
45164354,7.62,7.67,8.52,106.85
45164892,7.64,7.67,8.52,106.85
45165431,7.64,7.67,8.52,106.86
45165969,7.64,7.67,8.52,106.86
45166507,7.64,7.69,8.52,106.86
45167047,7.64,7.67,8.52,106.86
45167585,7.64,7.67,8.52,106.86
45168123,7.62,7.67,8.52,106.86
45168663,7.62,7.67,8.52,106.86
45169201,7.64,7.69,8.52,106.87
45169737,7.64,7.67,8.52,106.87
45170275,7.64,7.67,8.52,106.87
45170812,7.64,7.67,8.52,106.87
45171350,7.64,7.69,8.52,106.87
45171888,7.64,7.67,8.52,106.87
45172425,7.64,7.69,8.52,106.87
45172963,7.62,7.69,8.52,106.87
45173500,7.64,7.67,8.52,106.88
45174044,7.64,7.69,8.52,106.88
45174581,7.64,7.69,8.52,106.88
45175118,7.64,7.69,8.52,106.88
45175656,7.64,7.67,8.52,106.88
45176194,7.64,7.67,8.52,106.88
45176731,7.64,7.67,8.52,106.88
45177269,7.64,7.69,8.52,106.88
45177806,7.64,7.67,8.52,106.89
45178344,7.64,7.69,8.52,106.89
45178885,7.64,7.67,8.52,106.89
45179421,7.62,7.69,8.52,106.89
45179959,7.64,7.67,8.49,106.54
45180495,7.64,7.69,8.52,106.89
45181033,7.62,7.69,8.52,106.89
45181571,7.62,7.69,8.52,106.89
45182108,7.62,7.67,8.52,106.90
45182649,7.64,7.67,8.52,106.90
45183186,7.64,7.69,8.52,106.90
45183724,7.62,7.67,8.49,106.55
45184265,7.62,7.67,8.52,106.90
45184801,7.62,7.67,8.52,106.90
45185342,7.64,7.69,8.49,106.56
45185880,7.64,7.67,8.52,106.90
45186417,7.64,7.69,8.52,106.91
45186955,7.62,7.69,8.52,106.91
45187492,7.64,7.67,8.52,106.91
45188030,7.62,7.69,8.52,106.91
45188568,7.64,7.67,8.52,106.91
45189108,7.64,7.69,8.52,106.91
45189645,7.62,7.67,8.52,106.91
45190182,7.64,7.69,8.52,106.91
45190719,7.62,7.67,8.52,106.92
45191260,7.64,7.67,8.52,106.92
45191797,7.64,7.69,8.52,106.92
45192335,7.62,7.67,8.52,106.92
45192872,7.62,7.67,8.52,106.92
45193410,7.64,7.67,8.52,106.92
45193948,7.64,7.69,8.52,106.92
45194488,7.64,7.69,8.52,106.92
45195026,7.62,7.69,8.52,106.93
45195563,7.62,7.67,8.52,106.93
45196100,7.64,7.67,8.52,106.93
45196638,7.62,7.67,8.52,106.93
45197175,7.64,7.69,8.52,106.93
45197713,7.64,7.69,8.52,106.93
45198251,7.64,7.69,8.52,106.93
45198788,7.64,7.69,8.52,106.94
45199326,7.64,7.67,8.52,106.94
45199869,7.64,7.67,8.52,106.94
45200406,7.64,7.69,8.52,106.94
45200944,7.64,7.69,8.52,106.94
45201481,7.64,7.69,8.52,106.94
45202018,7.64,7.67,8.52,106.94
45202555,7.64,7.69,8.52,106.94
45203093,7.64,7.67,8.52,106.95
45203631,7.64,7.69,8.52,106.95
45204172,7.62,7.69,8.52,106.95
45204712,7.64,7.67,8.52,106.95
45205250,7.62,7.67,8.52,106.95
45205786,7.64,7.69,8.52,106.95
45206324,7.62,7.69,8.52,106.95
45206861,7.64,7.67,8.52,106.95
45207399,7.62,7.69,8.49,106.61
45207937,7.64,7.69,8.49,106.61
45208477,7.64,7.67,8.52,106.96
45209015,7.64,7.69,8.52,106.96
45209554,7.64,7.67,8.52,106.96
45210091,7.62,7.67,8.52,106.96
45210628,7.64,7.69,8.52,106.96
45211165,7.64,7.69,8.52,106.96
45211702,7.62,7.69,8.52,106.97
45212239,7.64,7.67,8.52,106.97
45212777,7.64,7.67,8.52,106.97
45213314,7.62,7.67,8.52,106.97
45213851,7.64,7.67,8.52,106.97
45214389,7.64,7.69,8.52,106.97
45214928,7.64,7.69,8.52,106.97
45215465,7.62,7.67,8.52,106.97
45216003,7.62,7.67,8.52,106.98
45216540,7.62,7.67,8.52,106.98
45217080,7.64,7.69,8.52,106.98
45217617,7.62,7.67,8.52,106.98
45218155,7.62,7.69,8.52,106.98
45218693,7.62,7.67,8.52,106.98
45219229,7.64,7.67,8.52,106.98
45219767,7.64,7.69,8.52,106.98
45220306,7.64,7.67,8.52,106.99
45220844,7.64,7.69,8.52,106.99
45221381,7.62,7.67,8.52,106.99
45221917,7.62,7.67,8.52,106.99
45222466,7.64,7.67,8.52,106.99
45223004,7.62,7.67,8.52,106.99
45223541,7.64,7.69,8.52,106.99
45224080,7.64,7.67,8.52,106.99
45224617,7.64,7.69,8.52,107.00
45225157,7.64,7.69,8.52,107.00
45225698,7.64,7.69,8.52,107.00
45226235,7.64,7.67,8.52,107.00
45226772,7.62,7.67,8.52,107.00
45227310,7.64,7.69,8.52,107.00
45227847,7.62,7.69,8.52,107.00
45228385,7.62,7.67,8.52,107.01
45228922,7.64,7.69,8.52,107.01
45229460,7.62,7.67,8.52,107.01
45230001,7.64,7.67,8.49,106.66
45230537,7.62,7.69,8.52,107.01
45231075,7.62,7.69,8.52,107.01
45231612,7.64,7.67,8.52,107.01
45232149,7.62,7.67,8.52,107.01
45232687,7.64,7.67,8.49,106.67
45233224,7.64,7.67,8.52,107.02
45233762,7.62,7.67,8.52,107.02
45234302,7.64,7.67,8.52,107.02
45234841,7.64,7.69,8.52,107.02
45235381,7.64,7.69,8.52,107.02
45235918,7.62,7.67,8.52,107.02
45236456,7.64,7.69,8.52,107.02
45236993,7.62,7.67,8.52,107.03
45237530,7.64,7.69,8.49,106.68
45238068,7.64,7.67,8.52,107.03
45238605,7.64,7.67,8.52,107.03
45239143,7.62,7.67,8.52,107.03
45239681,7.64,7.67,8.49,106.68
45240218,7.64,7.67,8.52,107.03
45240762,7.62,7.67,8.52,107.03
45241298,7.64,7.67,8.52,107.04
45241836,7.62,7.67,8.52,107.04
45242374,7.64,7.69,8.52,107.04
45242914,7.64,7.67,8.52,107.04
45243452,7.64,7.67,8.52,107.04
45243990,7.62,7.67,8.52,107.04
45244527,7.62,7.69,8.52,107.04
45245065,7.64,7.67,8.52,107.04
45245604,7.62,7.67,8.52,107.05
45246142,7.64,7.69,8.52,107.05
45246680,7.62,7.67,8.52,107.05
45247216,7.64,7.69,8.49,106.70
45247754,7.64,7.67,8.52,107.05
45248291,7.64,7.69,8.52,107.05
45248829,7.64,7.67,8.52,107.05
45249367,7.64,7.67,8.52,107.05
45249904,7.62,7.67,8.52,107.06
45250442,7.64,7.69,8.52,107.06
45250982,7.64,7.67,8.52,107.06
45251522,7.62,7.67,8.52,107.06
45252060,7.64,7.69,8.52,107.06
45252597,7.64,7.67,8.52,107.06
45253135,7.64,7.67,8.52,107.06
45253672,7.64,7.67,8.52,107.06
45254317,7.62,7.67,8.49,106.72
45254854,7.62,7.67,8.49,106.72
45255392,7.64,7.67,8.52,107.07
45255932,7.64,7.67,8.52,107.07
45256469,7.64,7.67,8.52,107.07
45257007,7.64,7.69,8.52,107.07
45257544,7.62,7.69,8.52,107.07
45258081,7.64,7.69,8.52,107.08
45258618,7.62,7.69,8.52,107.08
45259159,7.62,7.67,8.52,107.08
45259697,7.62,7.69,8.52,107.08
45260342,7.62,7.67,8.52,107.08
45260882,7.62,7.69,8.52,107.08
45261420,7.64,7.67,8.52,107.08
45261957,7.62,7.67,8.52,107.08
45262494,7.64,7.67,8.52,107.09
45263032,7.64,7.67,8.52,107.09
45263569,7.64,7.67,8.49,106.74
45264106,7.64,7.67,8.52,107.09
45264644,7.64,7.69,8.52,107.09
45265181,7.62,7.69,8.49,106.74
45265719,7.62,7.67,8.52,107.09
45266259,7.64,7.69,8.52,107.09
45266896,7.62,7.67,8.49,106.75
45267434,7.62,7.67,8.52,107.10
45267971,7.64,7.67,8.52,107.10
45268508,7.64,7.67,8.52,107.10
45269049,7.62,7.67,8.49,106.75
45269586,7.62,7.67,8.52,107.10
45270124,7.64,7.69,8.52,107.10
45270662,7.64,7.67,8.49,106.76
45271199,7.62,7.69,8.52,107.11
45271740,7.62,7.67,8.52,107.11
45272276,7.64,7.67,8.52,107.11
45272814,7.64,7.69,8.52,107.11
45273447,7.64,7.67,8.52,107.11
45273985,7.62,7.67,8.49,106.76
45274521,7.64,7.67,8.52,107.11
45275059,7.62,7.67,8.52,107.12
45275596,7.64,7.67,8.52,107.12
45276135,7.62,7.67,8.49,106.77
45276673,7.64,7.67,8.52,107.12
45277212,7.64,7.67,8.52,107.12
45277756,7.64,7.67,8.52,107.12
45278294,7.64,7.69,8.52,107.12
45278830,7.62,7.67,8.52,107.12
45279464,7.64,7.69,8.49,106.78
45280002,7.64,7.67,8.52,107.13
45280539,7.64,7.69,8.52,107.13
45281077,7.64,7.67,8.52,107.13
45281614,7.64,7.67,8.52,107.13
45282154,7.62,7.67,8.52,107.13
45282692,7.62,7.67,8.52,107.13
45283229,7.62,7.67,8.52,107.13
45283766,7.62,7.67,8.52,107.14
45284303,7.62,7.67,8.52,107.14
45284841,7.64,7.67,8.52,107.14
45285379,7.64,7.67,8.52,107.14
45286012,7.62,7.67,8.52,107.14
45286554,7.64,7.69,8.52,107.14
45287095,7.64,7.67,8.52,107.14
45287631,7.62,7.69,8.52,107.15
45288169,7.62,7.67,8.52,107.15
45288706,7.62,7.69,8.52,107.15
45289243,7.62,7.69,8.52,107.15
45289781,7.64,7.67,8.52,107.15
45290318,7.64,7.69,8.49,106.80
45290856,7.64,7.69,8.49,106.80
45291394,7.62,7.67,8.52,107.15
45291931,7.62,7.67,8.52,107.16
45292569,7.62,7.69,8.49,106.81
45293106,7.64,7.67,8.52,107.16
45293643,7.62,7.67,8.52,107.16
45294181,7.64,7.69,8.52,107.16
45294717,7.64,7.67,8.49,106.81
45295258,7.62,7.67,8.52,107.16
45295796,7.62,7.67,8.52,107.16
45296337,7.64,7.67,8.49,106.82
45296875,7.62,7.69,8.52,107.17
45297416,7.62,7.67,8.49,106.82
45297952,7.62,7.67,8.49,106.82
45298490,7.64,7.67,8.52,107.17
45299126,7.62,7.67,8.52,107.17
45299663,7.64,7.67,8.52,107.17
45300201,7.62,7.67,8.49,106.83
45300739,7.64,7.67,8.52,107.18
45301276,7.64,7.67,8.52,107.18
45301814,7.64,7.67,8.52,107.18
45302351,7.62,7.67,8.52,107.18
45302892,7.64,7.69,8.52,107.18
45303429,7.62,7.67,8.52,107.18
45303969,7.64,7.67,8.52,107.18
45304507,7.64,7.67,8.52,107.19
45305144,7.62,7.67,8.52,107.19
45305680,7.62,7.67,8.49,106.84
45306218,7.64,7.69,8.52,107.19
45306756,7.62,7.67,8.52,107.19
45307293,7.64,7.67,8.52,107.19
45307832,7.62,7.67,8.52,107.19
45308372,7.64,7.67,8.52,107.19
45308909,7.62,7.67,8.52,107.20
45309447,7.62,7.67,8.49,106.85
45309984,7.62,7.67,8.52,107.20
45310522,7.64,7.67,8.52,107.20
45311059,7.64,7.69,8.52,107.20
45311696,7.62,7.67,8.49,106.85
45312234,7.62,7.67,8.52,107.20
45312775,7.64,7.67,8.52,107.20
45313315,7.64,7.67,8.52,107.21
45313852,7.62,7.67,8.52,107.21
45314390,7.62,7.69,8.52,107.21
45314929,7.62,7.67,8.52,107.21
45315467,7.64,7.67,8.52,107.21
45316004,7.64,7.67,8.52,107.21
45316542,7.62,7.67,8.49,106.86
45317080,7.62,7.69,8.52,107.21
45317617,7.62,7.69,8.52,107.22
45318257,7.64,7.67,8.52,107.22
45318798,7.64,7.67,8.52,107.22
45319334,7.64,7.67,8.52,107.22
45319872,7.64,7.67,8.52,107.22
45320409,7.64,7.67,8.52,107.22
45320946,7.64,7.67,8.49,106.87
45321486,7.64,7.69,8.52,107.23
45322023,7.64,7.67,8.52,107.23
45322561,7.62,7.67,8.52,107.23
45323099,7.64,7.69,8.52,107.23
45323638,7.64,7.67,8.52,107.23
45324176,7.64,7.67,8.49,106.88
45324820,7.64,7.67,8.52,107.23
45325358,7.62,7.69,8.52,107.23
45325894,7.62,7.67,8.49,106.89
45326432,7.62,7.67,8.52,107.24
45326969,7.64,7.69,8.52,107.24
45327507,7.62,7.67,8.52,107.24
45328045,7.64,7.69,8.52,107.24
45328582,7.64,7.67,8.52,107.24
45329123,7.64,7.67,8.52,107.24
45329660,7.64,7.67,8.49,106.90
45330200,7.62,7.67,8.52,107.25
45330850,7.64,7.67,8.52,107.25
45331388,7.64,7.67,8.52,107.25
45331924,7.64,7.69,8.52,107.25
45332462,7.64,7.69,8.49,106.90
45333000,7.62,7.69,8.49,106.90
45333537,7.62,7.67,8.52,107.25
45334073,7.62,7.67,8.52,107.26
45334612,7.62,7.67,8.52,107.26
45335150,7.64,7.67,8.52,107.26
45335687,7.64,7.67,8.52,107.26
45336224,7.62,7.67,8.52,107.26
45336762,7.62,7.69,8.52,107.26
45337410,7.64,7.67,8.49,106.91
45337947,7.62,7.67,8.52,107.26
45338484,7.62,7.67,8.52,107.27
45339026,7.62,7.67,8.52,107.27
45339567,7.62,7.67,8.52,107.27
45340103,7.64,7.69,8.52,107.27
45340641,7.64,7.69,8.52,107.27
45341177,7.62,7.67,8.49,106.92
45341715,7.64,7.67,8.52,107.27
45342253,7.62,7.69,8.52,107.27
45342790,7.62,7.67,8.52,107.28
45343328,7.62,7.67,8.49,106.93
45343965,7.64,7.67,8.49,106.93
45344502,7.62,7.67,8.52,107.28
45345043,7.62,7.67,8.52,107.28
45345581,7.62,7.67,8.49,106.93
45346117,7.62,7.67,8.52,107.28
45346655,7.64,7.69,8.52,107.28
45347192,7.64,7.67,8.49,106.94
45347733,7.64,7.67,8.52,107.29
45348271,7.64,7.69,8.52,107.29
45348808,7.62,7.69,8.52,107.29
45349346,7.64,7.67,8.49,106.94
45349883,7.62,7.69,8.52,107.29
45350520,7.62,7.67,8.52,107.29
45351058,7.62,7.69,8.52,107.30
45351595,7.64,7.69,8.52,107.30
45352132,7.62,7.67,8.52,107.30
45352673,7.62,7.67,8.52,107.30
45353210,7.62,7.67,8.52,107.30
45353748,7.64,7.67,8.49,106.95
45354286,7.64,7.67,8.49,106.95
45354823,7.64,7.69,8.52,107.30
45355364,7.62,7.67,8.52,107.31
45355900,7.62,7.67,8.52,107.31
45356539,7.64,7.67,8.49,106.96
45357076,7.62,7.67,8.52,107.31
45357614,7.62,7.67,8.52,107.31
45358151,7.62,7.67,8.52,107.31
45358689,7.64,7.69,8.52,107.31
45359226,7.64,7.67,8.52,107.31
45359764,7.62,7.67,8.49,106.97
45360302,7.62,7.67,8.52,107.32
45360842,7.64,7.67,8.52,107.32
45361380,7.64,7.69,8.49,106.97
45361916,7.62,7.67,8.52,107.32
45362454,7.64,7.69,8.52,107.32
45363091,7.62,7.67,8.52,107.32
