current,voltage,capacity
1299.8,3.4064,11.3
1299.8,3.4064,11.4
1299.8,3.4068,11.4
1299.8,3.4071,11.4
1299.8,3.4074,11.5
1299.8,3.4077,11.5
1299.8,3.408,11.5
1299.8,3.408,11.6
1299.8,3.4086,11.6
1299.8,3.4089,11.7
1299.8,3.4092,11.7
1299.8,3.4095,11.7
1299.8,3.4095,11.8
1299.8,3.4099,11.8
1299.8,3.4102,11.8
1299.8,3.4105,11.9
1299.8,3.4105,11.9
1299.8,3.4108,11.9
1299.8,3.4111,12
1299.8,3.4114,12
1299.8,3.4117,12.1
1299.8,3.4117,12.1
1299.8,3.412,12.1
1299.8,3.4123,12.2
1299.8,3.4126,12.2
1299.8,3.413,12.2
1299.8,3.4133,12.3
1299.8,3.4133,12.3
1299.8,3.4136,12.3
1299.8,3.4139,12.4
1299.8,3.4142,12.4
1299.8,3.4145,12.4
1299.8,3.4145,12.5
1299.8,3.4148,12.5
1299.8,3.4151,12.6
1299.8,3.4157,12.6
1299.8,3.4157,12.6
1299.8,3.4161,12.7
1299.8,3.4164,12.7
1299.8,3.4167,12.7
1299.8,3.4167,12.8
1299.8,3.417,12.8
1299.8,3.4173,12.8
1299.8,3.4176,12.9
1299.8,3.4179,12.9
1299.8,3.4179,13
1299.8,3.4182,13
1299.8,3.4185,13
1299.8,3.4188,13.1
1299.8,3.4188,13.1
1299.8,3.4192,13.1
1299.8,3.4195,13.2
1299.8,3.4198,13.2
1299.8,3.4201,13.2
1299.8,3.4201,13.3
1299.8,3.4204,13.3
1299.8,3.4207,13.4
1299.8,3.421,13.4
1299.8,3.4213,13.4
1299.8,3.4213,13.5
1299.8,3.4216,13.5
1299.8,3.4219,13.5
1299.8,3.4219,13.6
1299.8,3.4223,13.6
1299.8,3.4229,13.6
1299.8,3.4232,13.7
1299.8,3.4232,13.7
1299.8,3.4235,13.7
1299.8,3.4238,13.8
1299.8,3.4241,13.8
1299.8,3.4241,13.9
1299.8,3.4244,13.9
1299.8,3.4247,13.9
1299.8,3.425,14
1299.8,3.425,14
1299.8,3.4254,14
1299.8,3.4257,14.1
1299.8,3.4257,14.1
1299.8,3.426,14.1
1299.8,3.4263,14.2
1299.8,3.4266,14.2
1299.8,3.4266,14.3
1299.8,3.4269,14.3
1299.8,3.4272,14.3
1299.8,3.4275,14.4
1299.8,3.4275,14.4
1299.8,3.4278,14.4
1299.8,3.4281,14.5
1299.8,3.4281,14.5
1299.8,3.4285,14.5
1299.8,3.4288,14.6
1299.8,3.4291,14.6
1299.8,3.4291,14.6
1299.8,3.4294,14.7
1299.8,3.43,14.7
1299.8,3.43,14.8
1299.8,3.4303,14.8
1299.8,3.4306,14.8
1299.8,3.4309,14.9
1299.8,3.4309,14.9
1299.8,3.4312,14.9
1299.8,3.4316,15
1299.8,3.4319,15
1299.8,3.4319,15
1299.8,3.4322,15.1
1299.8,3.4325,15.1
1299.8,3.4325,15.2
1299.8,3.4328,15.2
1299.8,3.4331,15.2
1299.8,3.4331,15.3
1299.8,3.4334,15.3
1299.8,3.4337,15.3
1299.8,3.434,15.4
1299.8,3.434,15.4
1299.8,3.4343,15.4
1299.8,3.4343,15.5
1299.8,3.4347,15.5
1299.8,3.435,15.6
1299.8,3.4353,15.6
1299.8,3.4353,15.6
1299.8,3.4356,15.7
1299.8,3.4359,15.7
1299.8,3.4362,15.7
1299.8,3.4362,15.8
1299.8,3.4365,15.8
1299.8,3.4371,15.8
1299.8,3.4371,15.9
1299.8,3.4375,15.9
1299.8,3.4378,15.9
1299.8,3.4378,16
1299.8,3.4381,16
1299.8,3.4384,16.1
1299.8,3.4387,16.1
1299.8,3.4387,16.1
1299.8,3.439,16.2
1299.8,3.4393,16.2
1299.8,3.4393,16.2
1299.8,3.4396,16.3
1299.8,3.4399,16.3
1299.8,3.4399,16.3
1299.8,3.4402,16.4
1299.8,3.4406,16.4
1299.8,3.4406,16.5
1299.8,3.4409,16.5
1299.8,3.4409,16.5
1299.8,3.4412,16.6
1299.8,3.4415,16.6
1299.8,3.4418,16.6
1299.8,3.4418,16.7
1299.8,3.4421,16.7
1299.8,3.4424,16.7
1299.8,3.4424,16.8
1299.8,3.4427,16.8
1299.8,3.443,16.9
1299.8,3.443,16.9
1299.8,3.4433,16.9
1299.8,3.4437,17
1299.8,3.4437,17
1299.8,3.4443,17
1299.8,3.4446,17.1
1299.8,3.4446,17.1
1299.8,3.4449,17.1
1299.8,3.4449,17.2
1299.8,3.4452,17.2
1299.8,3.4455,17.2
1299.8,3.4455,17.3
