Timestamp,Voltage1,Voltage2,Current,CurrentCapacity,TotalCapacity,OCV,SoC,1-SoC,OCV_smoothed
37783617,6.52,4.69,0.02131,0.003267,236.99966,6.52,12.546250922509222,87.45374907749077,6.568
38430249,6.49,4.69,0.02131,0.003285,240.82329,6.49,11.135317343173437,88.86468265682656,6.542
38975788,6.47,4.64,0.0210799999999999,0.003233,244.03468,6.47,9.950302583025827,90.04969741697417,6.518000000000001
39539387,6.45,4.61,0.02097,0.003216,247.33115,6.45,8.733892988929886,91.26610701107012,6.494
39721601,6.42,4.61,0.02097,0.003263,248.39417,6.42,8.341634686346861,91.65836531365314,6.470000000000001
39923371,6.4,4.59,0.02086,0.003199,249.57541,6.4,7.905752767527674,92.09424723247233,6.446
40207500,6.37,4.57,0.02075,0.003193,251.23093,6.37,7.294859778597786,92.70514022140222,6.422
40401487,6.35,4.57,0.02075,0.003176,252.35382,6.35,6.880509225092246,93.11949077490776,6.398000000000001
40627151,6.32,4.52,0.02053,0.003137,253.65352,6.32,6.400915129151297,93.5990848708487,6.372
40794896,6.3,4.52,0.02053,0.003137,254.6144,6.3,6.046346863468639,93.95365313653136,6.348000000000001
40994952,6.27,4.49,0.02042,0.003125,255.75526,6.27,5.625365313653139,94.37463468634687,6.322
41213473,6.25,4.44,0.0202,0.003091,256.99219,6.25,5.168933579335796,94.8310664206642,6.298
41301203,6.23,4.44,0.0202,0.003086,257.48657,6.23,4.986505535055361,95.01349446494464,6.273999999999999
41487550,6.2,4.39,0.01998,0.003057,258.53094,6.2,4.601129151291518,95.39887084870848,6.25
41669664,6.18,4.37,0.01986,0.00304,259.54608,6.18,4.2265387453874474,95.77346125461256,6.226000000000001
41837420,6.15,4.35,0.01975,0.003007,260.47537,6.15,3.883627306273064,96.11637269372693,6.202
41910816,6.13,4.32,0.01964,0.003023,260.88049,6.13,3.7341365313653103,96.26586346863469,6.178
42057125,6.1,4.3,0.01953,0.002989,261.6839,6.1,3.4376752767527696,96.56232472324723,6.152
42203949,6.08,4.3,0.01953,0.002984,262.48569,6.08,3.14181180811809,96.85818819188191,6.128
42336384,6.05,4.27,0.01942,0.003037,263.2037,6.05,2.8768634686346766,97.12313653136533,6.101999999999999
42403720,6.03,4.25,0.0193099999999999,0.002971,263.56696,6.03,2.7428191881918838,97.25718081180813,6.078
42588030,6.01,4.2,0.01909,0.002937,264.556,6.01,2.377859778597792,97.6221402214022,6.053999999999999
42681606,5.98,4.2,0.01909,0.002921,265.05417,5.98,2.1940332103321034,97.80596678966789,6.029999999999999
42777640,5.96,4.17,0.01898,0.002899,265.56351,5.96,2.0060848708487056,97.9939151291513,6.006
42904030,5.93,4.13,0.01875,0.002876,266.22916,5.93,1.7604575645756535,98.23954243542434,5.982
42978533,5.91,4.1,0.01864,0.002853,266.61978,5.91,1.616317343173435,98.38368265682656,5.958
43075673,5.88,4.1,0.01864,0.002848,267.12601,5.88,1.4295166051660486,98.57048339483396,5.932
43156264,5.86,4.05,0.01842,0.002814,267.54364,5.86,1.2754095940959476,98.72459040590405,5.9079999999999995
43216435,5.83,4.05,0.01842,0.002814,267.85336,5.83,1.1611217712177089,98.83887822878229,5.882
43332087,5.81,4.0,0.0182,0.002816,268.44458,5.81,0.9429594095941056,99.0570405904059,5.858
43413771,5.79,3.98,0.01809,0.002774,268.85938,5.79,0.7898966789667943,99.2101033210332,5.8340000000000005
43486629,5.76,3.98,0.01809,0.002774,269.22687,5.76,0.654291512915122,99.34570848708488,5.81
43510363,5.74,3.96,0.01798,0.002762,269.34604,5.74,0.6103173431734257,99.38968265682658,5.786
43595380,5.71,3.93,0.01787,0.002749,269.77081,5.71,0.4535756457564638,99.54642435424354,5.7620000000000005
43651686,5.69,3.91,0.01776,0.002732,270.05042,5.69,0.3503985239852494,99.64960147601475,5.7379999999999995
43735577,5.66,3.88,0.01764,0.002706,270.46338,5.66,0.19801476014761166,99.80198523985239,5.712
43762630,5.64,3.86,0.01753,0.002713,270.59558,5.64,0.14923247232472914,99.85076752767526,5.688000000000001
43815065,5.62,3.83,0.01742,0.002667,270.85083,5.62,0.05504428044281419,99.94495571955719,5.664
43892097,5.59,3.81,0.01731,0.002669,271.22287,5.59,0.08223985239852412,100.08223985239853,5.64
43929645,0.51,0.0,0.0,0.0,271.4003,0.51,0.14771217712177698,100.14771217712178,4.604
43930195,0.17,0.0,0.0,0.0,271.4003,0.17,0.14771217712177698,100.14771217712178,3.5060000000000002
43930746,0.05,0.0,0.0,0.0,271.4003,0.05,0.14771217712177698,100.14771217712178,2.388
43931296,0.0,0.0,0.0,0.0,271.4003,0.0,0.14771217712177698,100.14771217712178,1.264
